"Whisky","Meta Critic","STDEV","#","Cost","Class","Super Cluster","Cluster","Country","Type"
"High West American Prairie","8.29","0.68","7","$$$","Bourbon-like","","R3","USA","Bourbon"
"Michter's Sour Mash","8.28","0.09","3","$$$","Bourbon-like","","R1","USA","Bourbon"
"George Dickel No.12","8.25","0.39","18","$$","Bourbon-like","","R1","USA","Bourbon"
"Jim Beam Black Label","8.24","0.31","16","$","Bourbon-like","","R2","USA","Bourbon"
"Four Roses (Yellow Label)","8.23","0.33","13","$","Bourbon-like","","R3","USA","Bourbon"
"Maker's Mark","8.23","0.39","26","$$","Bourbon-like","","R0","USA","Bourbon"
"Evan Williams 1783 Small Batch","8.22","0.35","5","$","Bourbon-like","","R1","USA","Bourbon"
"Bib & Tucker 6yo Bourbon","8.21","0.12","4","$$$","Bourbon-like","","R3","USA","Bourbon"
"Evan Williams (Black Label)","8.20","0.39","16","$","Bourbon-like","","R1","USA","Bourbon"
"Koval Single Barrel Millet Whiskey","8.20","0.28","6","$$$","Bourbon-like","","R0","USA","Grain"
"Jim Beam Double Oak","8.19","0.44","7","$$","Bourbon-like","","R2","USA","Bourbon"
"Heaven Hill Trybox Series New Make","8.18","0.29","3","$","Bourbon-like","","R1","USA","Bourbon"
"Yellowstone Select","8.16","0.28","5","$$$","Bourbon-like","","R3","USA","Bourbon"
"Blanton's Special Reserve","8.15","0.30","6","$$$","Bourbon-like","","R2","USA","Bourbon"
"Tincup American Whiskey","8.14","0.29","8","$$","Bourbon-like","","R3","USA","Bourbon"
"Old Fitzgerald BiB","8.12","0.59","8","$$$","Bourbon-like","","R0","USA","Bourbon"
"Old Forester","8.10","0.40","13","$$","Bourbon-like","","R2","USA","Bourbon"
"Wild Turkey 81 Bourbon","8.09","0.48","16","$","Bourbon-like","","R2","USA","Bourbon"
"Jim Beam Devil's Cut","8.08","0.49","17","$","Bourbon-like","","R2","USA","Bourbon"
"Henry McKenna Straight Bourbon","8.06","0.05","3","$","Bourbon-like","","R1","USA","Bourbon"
"Jack Daniel's No. 27 Gold Double Barrelled","8.04","0.18","3","$$$$","Bourbon-like","","R1","USA","Bourbon"
"66 Gilead The Wild Oak","8.01","0.55","6","$$","Bourbon-like","","","Canada","Blend"
"Old Grand-Dad Bourbon (80/86 Proof)","8.00","0.59","12","$$","Bourbon-like","","R3","USA","Bourbon"
"Mellow Corn BiB","7.96","0.45","15","$","Bourbon-like","","R1","USA","Bourbon"
"Jack Daniel's Old No. 7","7.95","0.38","16","$$","Bourbon-like","","R1","USA","Bourbon"
"Smooth Ambler Old Scout Yearling Bourbon","7.93","1.03","4","$$$","Bourbon-like","","R0","USA","Bourbon"
"Jefferson's Very Small Batch Bourbon","7.92","0.71","8","$$","Bourbon-like","","R3","USA","Bourbon"
"Jack Daniel's Gentleman Jack","7.86","0.36","14","$$","Bourbon-like","","R1","USA","Bourbon"
"Heaven Hill Old Syle Bourbon (white label)","7.85","0.46","5","$","Bourbon-like","","R1","USA","Bourbon"
"Ezra Brooks Black Label","7.83","0.89","6","$","Bourbon-like","","R1","USA","Bourbon"
"Ancient Age Kentucky Straight Bourbon","7.81","0.63","8","$","Bourbon-like","","R2","USA","Bourbon"
"Redemption High Rye Bourbon","7.81","0.76","7","$$","Bourbon-like","","R3","USA","Bourbon"
"Jim Beam Distillers Series","7.72","1.30","5","$$","Bourbon-like","","R2","USA","Bourbon"
"Ezra B 12yo Single Barrel","7.71","0.87","4","$$$","Bourbon-like","","R1","USA","Bourbon"
"Jim Beam White Label","7.67","0.47","19","$","Bourbon-like","","R2","USA","Bourbon"
"Rebel Yell Kentucky Bourbon","7.47","0.54","12","$","Bourbon-like","","R0","USA","Bourbon"
"Jim Beam Red Stag (Black Cherry)","7.44","0.94","4","$","Bourbon-like","","","USA","Flavoured"
"Virginia Black","7.37","1.02","6","$$","Bourbon-like","","R2","USA","Bourbon"
"Yellowstone Limited Edition (all vintages)","6.19","4.81","4","$$$$$","Bourbon-like","","R3","USA","Bourbon"
